date,prompt
"11-07-2026","make card tags 20% smaller; skill tags below job description; orange LYNQ-SCORE: 50 tag next to REMOTE/IN_OFFICE (hardcoded); external jobs show Source: ${job_source} instead of Posted by: unknown"
"11-07-2026","change the tags to use the MUI Chip component; lynq-score displayed as an outlined orange Chip"
"11-07-2026","show lynq-score chip with color=warning variant=outlined and alpha(theme.palette.warning.main, 0.12) background"
"11-07-2026","button apply label should be \"see details\""
"11-07-2026","In create job form. Skills are AI generated. The idea is that once user completes the form. they click a button to generate ""skills"" (put a note informing this in the UI). and then the user will have the option of updating before sending to the backend"
"12-07-2026","skill generation feature delays a little bit when user click the button. Display a nice Loading component or spinner when this feature is triggered. Also Block all buttons so the user is not able to perform any other action"
"12-07-2026","remove chip for posted By component for username. make the name a link to a user detail page that will be created later (NOT user profile)"
"12-07-2026","for job post card. if the job has more than 3 skills. add another chip for ""..."". If this chip is clicked, it should display all skills for this job"
"12-07-2026","modify lynq score component in home page. Lynq-score component should not be rendered if the user is a ""Company"" user. Lynq-Score should be rendered with the following color pallete based on the scoring. 0-20 red 21-40 orange 41-60 yellow 61-80 light green 81-100 green"
"18-07-2026","intoduce the lynq-score calculation next the chip of ""work type"" with their respective color depending on the score"
2026-07-18,"in home-page place lynq-score chip to the right corner totally opposite to the work type chip"
2026-07-18,"in job detail page place lynq-score score chip to the right top corner and place the button apply now in the at the center of the right corner"
2026-07-18,"modify see details in the home page to also call endpoint ""/{job_id}/increase-seen"" when the user clicks on see details"
2026-07-18,"in job details. add a label to show total of seen count"
2026-07-18,"add a link to the company detail box also, will provide specification later. the same as we have done it for the poster of the job"
2026-07-18,"for the job detail I created an endpoint for ""/job/${job_id}/details"" please refer to this endpoint when clicking see details. This new endpoints also returns total seen and total candidates applied. so make sure to introduce these two fields in the job detail page"
2026-07-18,"in home page there are two references to ""/users/${user_id}"". rename route to ""/user/${user_id}"" and connect both links to backend that is now serving that endpoint. come up with a nice ui to show the information"
2026-07-18,"in comapny owner profile detail page. Divide the user-profile-hero in two, the left side keep it as it is right now and the right side fill it with the about information. both are equally important."
2026-07-18,"for the job list component in the user detail. make each card squared showing only the title a part of the description. add an horizontal scroll like a carousel showing the scroll as dotted"
2026-07-18,"the job details are not being displayed correctly. truncate the string to a fixed size. If the user want to see the full details he will have to click on the card"
2026-07-18,"replace label about | sobre with about me | sobre mi"
2026-07-18,"now in the job detail page. When I click to see the company details it redirects to companies/${compnay_id}. refactor to redirect to /company/${user_id}"
2026-07-18,"connect link about company in job details page with the backend endpoint ""/company/${comopany_id}""
2026-07-18,"there is a job post list in both pages user detail and company detail. showing posts that can be close or open. add a nice way to highlight the ones that are closed."
2026-07-18,"jobdetail page add a button to stop the seeking candidates if the job belongs to the logged user"
2026-07-18,"in home page. disable scroll for left bar. If the user scrolls only the jobs listing must be scrollable"
2026-07-18,"rename the route "my-job-post" to ""job/mine"" and it should invoke backend endpoint "/job/mine""
2026-07-19,"replace react route ""/my-company"" with ""/company/${company_id}"", when the user clicks on it. a backend call has to be made to this url in the backend to retrieve company detail information"
2026-07-19,"trim company information to 200 characters to avoid making the div too big. if the company descriptions is longer just displayed 197 characters and three dots. The user can see the full description and size once clicks on ""view company"" link"
