date,prompt
"25-06-2026","create UserResumeRepository"
"25-06-2026","create method UserService.saveNewUser(..) that it takes the following primitives
 - userId [String]
 - type [UserType]
 - profileImageUrl [String]
 - currentPosition [String]
 - about [String]
 - githubUrl [String]
 - linkedInUrl [String]
 - birthDate [date]
 
creates a new userEntity and save it into database"
"25-06-2026","create controller method createUser that it takes a user request. validations should be done with jakarta validation and exceptions must be caught in ExceptionHandler"
"25-06-2026","add return type CreateUserRestResponse as part of the response"
"25-06-2026","add swagger specification and examples in interface UserController"
"25-06-2026","add JunitTest for classes UserController and UserService"
"25-06-2026","add integration test in LynqAppBackendApplication. use MockServer to mock auth endpoints from lynq-iam"
"25-06-2026","remove all redis occurrences. This project won't use redis so remove the tests,classes and maven dependencies"
"25-06-2026","execute tests"
"25-06-2026","check this log by the aspect `2026-06-25T14:59:54,176 INFO  [qtp86338905-73] c.l.b.a.LogAspect [550e8400-e29b-41d4-a716-446655440000]:` I want the real class name to appear in the logs. not the aspect class"
"25-06-2026","'/user' endpoint documentation doesn't have bearer token and lynq-request-uuid header"
"25-06-2026","'/user' endpoint documentation doesn't have lynq-request-uuid header"
"25-06-2026","for class `CompanyEntity` is it possible to add autogenerated string id with format UUID6?"
"25-06-2026","complete class CreateUserWithCompany. it should take user information + company information"
"25-06-2026","add owner (userEntity) to companyEntity"
"25-06-2026","create method in controller class CompanyController to create a user with company taking @RequestBody CreateUserWithCompanyRequest. the userId should be taken from security context and the company id must be generated with `Generators.timeBasedEpochGenerator().generate().toString()`"
"25-06-2026","add CompanyService a method validation that checks uniqueness of companyName. if there is another company with the same name it throws a BadRequestException and returns a proper rest response with 400 request header"
"25-06-2026","in class UserControllerImplTest. 'setUp' methods uses a concrete class for `principal` and `request`. change this to use mock entities and mock its functions instead of using real getter and setters"
"25-06-2026","review all tests to see if any concrete class is being used. This must not happen again"
"25-06-2026","add junit test cases for class CompanyService and CompanyController"
"25-06-2026","create integration test for createUserWithCompany"
"25-06-2026","create integration test for createUserWithCompany. add all integration test in BackendAppApplicationTests"
"25-06-2026","modify test AuthHeaderExistenceFilterTest.doFilterInternalSerializesErrorResponseWithExpectedReasonAndFlagsWhenHeaderMissing. objectMapper is not a concrete instance"
"25-06-2026","add unit test for ControllerExceptionHandler"
"25-06-2026","git status"
"26-06-2026","create new method in class JobService that creates a jobEntity and store it in db. 
parameters:
 - title [string]
 - description [String]
 - workType [WorkType]
 - salaryRangeDown [Integer]
 - salaryRangeTop [Integer]
 - jobPostType [jobPostType]
 - user [UserEntity - must be taken from security context]
 - company [CompanyEntity - must be inferred from user] (only users linked to a company can create job) throw BadRequestException if the user is not of type COMPANY - add validation""26-06-2026","make exception messages to be constants instead of hardcoding the message value"
"26-06-2026","add JunitTest new method `createJob`  in class JobService"
"26-06-2026","create new method in JobControllerImpl that calls jobService.createJob(..). all the parameters that jobService requires should come from a requestObject in requestBody"
"26-06-2026","add JunitTest for method createJob in JobControllerImpl"
"26-06-2026","add new Integration Tests in class BackendAppApplicationTests to contemplate new endpoint to create a job"
"26-06-2026","alter method createJob -> make the request to also have an optional field of type List<String> denoting JobPostSkillEntity. if the list is present it should create the skills for the job and save it in the database"
"27-06-2026","add Full Name to userEntity"
"27-06-2026","add fullName as part of the request of `createUser`"
"27-06-2026","create a new endpoint. PATCH to modify userProfile fields. fields allowed to be modified in the request. birthDate, linkedinUrl, githubUrl, about, currentPosition, userProfileImageUrl, fullName""27-06-2026","how can I generate openapi specification of all the endpoints in this service"
"28-06-2026","getting a 503 for http://localhost:8082/lynq-backend-app/user when creating an user"
"28-06-2026","add `owner_user_id` to table companies like it is defined in CompanyEntity.java"
"29-06-2026","implement new endpoint GET ""/user"". it returns all user information. userId must be taken from auth context"
"29-06-2026","add integration test for GET ""/user"" endpoint"
"30-06-2026","remove `userProfileImageUrl` from UpdateUserProfileRequest. update the tests if needed"
"30-06-2026","remove `userProfileImageUrl` from UpdateUserProfileRequest. update the tests if needed"
"30-06-2026","create S3Client bean in AppConfig.java. aws keys should be pass through application.yml and these will come via env vars. update docker for backend and docker-compose"
"30-06-2026","create S3Client bean in AppConfig.java. aws keys should be pass through application.yml and these will come via env vars. update docker for backend and docker-compose"
"30-06-2026","add a new property in application.yaml called aws.bucket-name"
"30-06-2026","add a new property in application.yaml called aws.bucket-name"
"30-06-2026","create method `createUserProfilePreSignedUrl` that takes the userEntity and a fileName as parameters. creates a s3 path and a pre-signed url so the frontend can upload the profile image"
"30-06-2026","create method createUserProfilePreSignedUrl that takes the userEntity and a fileName as parameters. creates a s3 path and a pre-signed url so the frontend can upload the profile image"
"30-06-2026","create method obtainUserProfilePreSignedUrl that given the userEntity. it takes the userProfileLink from userEntity and creates a pre-signed Url so the front end can use the file on the react profile image component"
"30-06-2026","create method obtainUserProfilePreSignedUrl that given the userEntity. it takes the userProfileLink from userEntity and creates a pre-signed Url so the front end can use the file on the react profile image component"
"30-06-2026","create endpoint in UserController ""GET /user/generate-upload-image?file-name={file_name}"" that taking the file name. generates ""profile_image_url"" with the file name. save it in the database and returns a preSignedUrl so the front-end can push the binary of the file into the s3. Also take into account that this file can be replaced in any moment in time"
"30-06-2026","create endpoint in UserController GET /user/generate-upload-image?file-name={file_name} that taking the file name. generates profile_image_url with the file name. save it in the database and returns a preSignedUrl so the front-end can push the binary of the file into the s3. Also take into account that this file can be replaced in any moment in time"
"30-06-2026","delete the old s3 object on replacement"
"30-06-2026","add integration test for s3 push and obtain using testcontainer + localstack"
"30-06-2026","remove getUserProfileImageUrl from `CreateUserRequest` in `createUser` endpoint implementation"
"30-06-2026","alter method `getUser` and `createUser` if the profileImageUrl is not null. generate the presigned url to point to the image in S3"
"04-07-2026","create endpoint GET /jobs in jobController. it should serve latest jobs that are available using latest always first (order descending by creation-date). If a job is not available anymore it should be skipped. Also it should return information about the company and the user who made the post. Use custom single query to fetch the data to avoid doing iterations in a @transactional method"
"04-07-2026","add pagination and filter capabilities for skill, company name (like), title (like), description(line), worktype"
"04-07-2026","add in docker-compose an image for localstack_s3. append aws keys in the backend specifically in application.yaml"
"04-07-2026","add unitTest and integrationTest for job post endpoint"
"04-07-2026","rename JobPostEntity.available to JobStatus an enum with values OPEN | CLOSE"
"04-07-2026","JobRestResponse. split the classes I don't like inner classes"
"04-07-2026","for the profileImageUrl of `JobPostedByRestResponse` follow the same logic as the userProfileImageUrl. The job post owner is another LYNQ user. so, it has its profile picture in s3 and a method to generate a public url was provided"
"04-07-2026","create presign urls for company too. S3 key must be ""lynq/companies/%s/profile/%s"""
"04-07-2026","modify jobPost endpoint. It will only receive 1 parameter in string. called ""filterValue"" and it should look any match across all the possible filtration columns using like. The columns that this filtration should be applied against are: title, description, companyName, workType, skill alter the query and make it OR condition"
"04-07-2026","add SkillList for jobPost in GetJobRestResponse"
"04-07-2026","I'm noticing a lot of hardcoding in the tests, specially when you are doing asserts. move all hardcoding into constant"
"12-07-2026","create feign client called LynqMLClient and integrate with lynq-ml. lynq-ml url will be localhost:8084 for application.yaml and for production it will be the same url as default or LYNQ_ML_URL env var"
"12-07-2026","create a new controller called ""LynqMLProxyController"" whose base path will be ""lynq-ml"" and create endpoint ""/lynq-ml"" that will call the actual endpoint in lynq-ml python project. this endpoint must be protected by all filters and pass the headers required by the ml endpoint"
"12-07-2026","modify proxy controller to get lynq-request-uuid from request header not from the MDC"
"12-07-2026","create Junit test cases and integration tests"
"12-07-2026","include lynq score calculation for each of the jobPost returned in ""searchAvailableJobs"". and add this field in the response as well"
"12-07-2026","fill README.md with all the details about this project. follow lynq-iam/README.md examples"
"17-07-2026","add a new endpoint in JobController. url PATCH ""/job/${job_id}/increase-seen"" that increases the total seen counter for the job post"
"17-07-2026","create new endpoint POST ""/job/${job_id}/apply"" that performs an application by an user to the job. it should grab the userId from auth context. and create a record in intermediate table user_application_job. Even though there is a constraint about an user_id and a job_id. perform a validation that a user cannot apply to the same job twice. create new exception ""AlreadyAppliedToJobException"", add it to the exception handler and return badrequest http header"
"17-07-2026","add validation to apply endpoint. only users of type candidate can apply to jobs"
"17-07-2026","create new endpoint GET ""/job/{job_id}/candidates"" that returns all candidates that applied for that job. endpoint should be paginated with a size default of 10. Pagination parameters should come as request parameters with name page and pageSize. create new response class JobCandidateResponse whose fields are id, userId, jobId, userFullName, userProfileImage, userCurrentPosition, userAppliedOn."
"17-07-2026","refactor this ""existsByJobPost_IdAndUser_Id"" always follow java pattern and use HQL or MySQL native query if not possible to do with DQM"
"17-07-2026","for the endpoint that retrieves the total candidates for a jobpost include lynq score calculation as well"
"17-07-2026","create endpoint GET /user-resume that takes the userid from auth context and return all of the resume. Both formats, json format and s3 public link of the pdf. This is only possible for users whose type is CANDIDATE add validation for that"
"18-07-2026","modify lynq-score calculation. if the user has no skill or the list of skills is empty. lynq-score calculation should be 0"
"18-07-2026","create endpoint GET /job/${job_id}/details that given a job id it returns the job response exactly as the paginated endpoint but for only one job"
"18-07-2026","yes (add tests for the GET /job/{id}/details endpoint: success and 404 cases)"
"18-07-2026","for the getJobDetails create a subclass of the GetJobRestResponse called GetJobDetailForCandidateRestResponse. in this response add the fields totalSeen, totalCandidatesApplied (this has to be calculated seeing intermediate table)"
"18-07-2026","create endpoint in userController GET /user/${user_id}. that returns userProfile Information. it should include FullName, ProfileImageUrl, currentPosition, About, githubUrl, linkedInUrl. if the requested user is a Company Owner it should return also the name of the company and the profileImageUrl. it has also return a list of all the jobs that it created, regardless of the position status. for the job information it should return id, title and description"
"18-07-2026","refactor StorageService.createUserProfilePreSignedUrl and StorageService.createCompanyProfilePreSignedUrl. There are duplicated code"
"18-07-2026","create endpoint in CompanyController GET /company/${company_id} it should return all company information the same as the user detail endpoint + all the job positions that are open or closed"
"18-07-2026","create endpoint PATCH /job/${job_id}/refresh that will REOPEN a CLOSED position. it will also update its created_on date. The user performing this actions has to be the owner of the job post only"
"18-07-2026","check if I need to add the job status in any test"
"18-07-2026","create endpoint PATCH /job/${job_id}/close and endpoint that changes the status of a job from OPEN to CLOSE. add a new column to table job_post that denotes the date when the job was closed. this action can only be performed by the owner of the job. Also update the refresh endpoint to set this date to null when a job is refreshed"
